txId,postedAt,account,direction,amount,currency,reversalOf,description
TX-0001,2024-02-02T09:07:00.000Z,assets:receivable:trade,debit,13.13,USD,,clean settlement 1
TX-0022,2024-02-23T12:34:00.000Z,income:sales:subscription,debit,78.86,USD,,clean settlement 22
TX-0110,2024-03-31T18:30:00.000Z,assets:cash:operating,debit,310.00,USD,,at the upper boundary
TX-0112,2023-12-31T18:30:00.000Z,expenses:ops:hosting,debit,270.00,USD,,at the lower boundary
TX-0033,2024-01-07T14:51:00.000Z,expenses:ops:travel,credit,113.29,USD,,clean settlement 33
TX-0027,2024-01-01T08:09:00.000Z,expenses:ops:travel,credit,15.699,BHD,,clean settlement 27
TX-0180,2024-03-20T09:00:00.000Z,assets:cash:operating,debit,1000.00,USD,,large settlement
TX-0130,2024-02-14T13:00:00.000Z,assets:cash:operating,debit,200.00,USD,,rounding drift
TX-0006,2024-01-07T14:42:00.000Z,assets:cash:operating,credit,28.78,USD,,clean settlement 6
TX-0056,2024-03-03T10:32:00.000Z,expenses:ops:hosting,debit,185.28,USD,,clean settlement 56
TX-0002,2024-03-03T10:14:00.000Z,expenses:ops:hosting,debit,16.26,USD,,clean settlement 2
TX-0031,2024-02-05T12:37:00.000Z,assets:receivable:trade,debit,107.03,USD,,clean settlement 31
TX-0041,2024-03-15T13:47:00.000Z,liabilities:payable:trade,debit,1333,JPY,,clean settlement 41
TX-0014,2024-03-15T13:38:00.000Z,expenses:ops:hosting,debit,982,JPY,,clean settlement 14
TX-0060,2024-01-07T14:00:00.000Z,assets:cash:operating,credit,197.80,EUR,,clean settlement 60
TX-0021,2024-01-22T11:27:00.000Z,expenses:ops:travel,credit,75.73,USD,,clean settlement 21
TX-0120,2024-01-18T11:05:00.000Z,income:sales:subscription,debit,25.50,USD,,split posting
TX-0039,2024-01-13T11:33:00.000Z,expenses:ops:travel,credit,132.07,USD,,clean settlement 39
TX-0005,2024-03-06T13:35:00.000Z,liabilities:payable:trade,debit,865,JPY,,clean settlement 5
TX-0007,2024-02-08T15:49:00.000Z,assets:receivable:trade,debit,31.91,USD,,clean settlement 7
TX-0101,2024-02-05T10:00:00.000Z,assets:receivable:trade,debit,500.00,USD,,duplicate charge
TX-0017,2024-03-18T16:59:00.000Z,liabilities:payable:trade,debit,63.21,USD,,clean settlement 17
TX-0030,2024-01-04T11:30:00.000Z,assets:cash:operating,credit,103.90,USD,,clean settlement 30
TX-0019,2024-02-20T09:13:00.000Z,assets:receivable:trade,debit,69.47,EUR,,clean settlement 19
TX-0036,2024-01-10T08:12:00.000Z,assets:cash:operating,credit,122.68,EUR,,clean settlement 36
TX-0049,2024-02-23T12:43:00.000Z,assets:receivable:trade,debit,163.37,USD,,clean settlement 49
TX-0043,2024-02-17T15:01:00.000Z,assets:receivable:trade,debit,144.59,USD,,clean settlement 43
TX-0038,2024-03-12T10:26:00.000Z,expenses:ops:hosting,debit,128.94,USD,,clean settlement 38
TX-0003,2024-01-04T11:21:00.000Z,expenses:ops:travel,credit,19.39,EUR,,clean settlement 3
TX-0140,2024-03-04T15:45:00.000Z,income:sales:subscription,credit,750.00,USD,,customer refund
TX-0020,2024-03-21T10:20:00.000Z,expenses:ops:hosting,debit,72.60,USD,,clean settlement 20
TX-0051,2024-01-25T14:57:00.000Z,expenses:ops:travel,credit,169.63,USD,,clean settlement 51
TX-0035,2024-03-09T16:05:00.000Z,liabilities:payable:trade,debit,119.55,USD,,clean settlement 35
TX-0053,2024-03-27T16:11:00.000Z,liabilities:payable:trade,debit,175.89,USD,,clean settlement 53
TX-0013,2024-02-14T12:31:00.000Z,assets:receivable:trade,debit,50.69,USD,,clean settlement 13
TX-0010,2024-02-11T09:10:00.000Z,income:sales:subscription,debit,41.30,USD,,clean settlement 10
TX-0113,2024-03-31T18:29:59.000Z,expenses:ops:travel,debit,260.00,USD,,at the upper boundary
TX-0150,2024-03-12T08:20:00.000Z,liabilities:payable:trade,debit,120.00,USD,,cross-border settlement
TX-0045,2024-01-19T08:15:00.000Z,expenses:ops:travel,credit,150.85,USD,,clean settlement 45
TX-0046,2024-02-20T09:22:00.000Z,income:sales:subscription,debit,153.98,USD,,clean settlement 46
TX-0173,2024-03-31T20:00:00.000Z,expenses:ops:hosting,debit,55.00,USD,,book A only
TX-0058,2024-02-05T12:46:00.000Z,income:sales:subscription,debit,191.54,USD,,clean settlement 58
TX-0059,2024-03-06T13:53:00.000Z,liabilities:payable:trade,debit,194.67,USD,,clean settlement 59
TX-0023,2024-03-24T13:41:00.000Z,liabilities:payable:trade,debit,1099,JPY,,clean settlement 23
TX-0054,2024-01-01T08:18:00.000Z,assets:cash:operating,credit,179.02,USD,,clean settlement 54
TX-0047,2024-03-21T10:29:00.000Z,liabilities:payable:trade,debit,157.11,USD,,clean settlement 47
TX-0042,2024-01-16T14:54:00.000Z,assets:cash:operating,credit,141.46,USD,,clean settlement 42
TX-0008,2024-03-09T16:56:00.000Z,expenses:ops:hosting,debit,35.04,USD,,clean settlement 8
TX-0024,2024-01-25T14:48:00.000Z,assets:cash:operating,credit,85.12,USD,,clean settlement 24
TX-0052,2024-02-26T15:04:00.000Z,income:sales:subscription,debit,172.76,EUR,,clean settlement 52
TX-0044,2024-03-18T16:08:00.000Z,expenses:ops:hosting,debit,147.72,EUR,,clean settlement 44
TX-0111,2023-12-31T18:29:59.000Z,assets:receivable:trade,debit,290.00,USD,,at the lower boundary
TX-0160,2024-01-09T16:40:00.000Z,assets:cash:operating,debit,10.125,USD,,sub-cent invoice
TX-0132,2024-02-16T13:00:00.000Z,expenses:ops:hosting,debit,400.00,USD,,rounding drift
TX-0101-REV,2024-02-06T10:00:00.000Z,expenses:ops:hosting,credit,500.00,USD,TX-0101,reversal of TX-0101
TX-0028,2024-02-02T09:16:00.000Z,income:sales:subscription,debit,97.64,EUR,,clean settlement 28
TX-0055,2024-02-02T09:25:00.000Z,assets:receivable:trade,debit,182.15,USD,,clean settlement 55
TX-0170,2024-02-20T10:10:00.000Z,assets:cash:operating,debit,180.00,USD,,book A only
TX-0016,2024-02-17T15:52:00.000Z,income:sales:subscription,debit,60.08,USD,,clean settlement 16
TX-0131,2024-02-15T13:00:00.000Z,assets:receivable:trade,debit,300.00,USD,,rounding drift
TX-0034,2024-02-08T15:58:00.000Z,income:sales:subscription,debit,116.42,USD,,clean settlement 34
